page_id,url,title,page_type,category,avg_views,avg_edits,words,creation_year,description
1147903,en.wikipedia.org/wiki/Ben_Shapiro,Ben_Shapiro,biography,"arts, culture and entertainment",238216,40,4196,2004,"American political commentator, writer and podcast host"
51449796,en.wikipedia.org/wiki/2017_FIBA_Asia_Cup,2017_FIBA_Asia_Cup,other,sport,13996,20,563,2016,Basketball Championship
52431805,en.wikipedia.org/wiki/Velaiilla_Pattadhari_2,Velaiilla_Pattadhari_2,other,"arts, culture and entertainment",39394,18,1259,2016,2017 film by Soundarya Rajinikanth
54791704,en.wikipedia.org/wiki/Eastwatch,Eastwatch,other,"arts, culture and entertainment",21570,4,2455,2017,episode of Game of Thrones (S7 E5)
213142,en.wikipedia.org/wiki/Murder_of_Laci_Peterson,Murder_of_Laci_Peterson,biography,"arts, culture and entertainment",64428,6,2756,2003,Highly publicized criminal case in USA
55486697,en.wikipedia.org/wiki/List_of_monuments_and_memorials_of_the_Confederate_States_of_America,List_of_monuments_and_memorials_of_the_Confederate_States_of_America,other,"arts, culture and entertainment",9629,0,3434,2017,
746942,en.wikipedia.org/wiki/Wikipedia:Shortcut,Wikipedia:Shortcut,other,"arts, culture and entertainment",76550,0,1550,2004,"Wikimedia project page explaining the practice of creating abbreviated redirects for project-space pages, and/or a list of such redirects"
52896602,en.wikipedia.org/wiki/Arjun_Reddy,Arjun_Reddy,other,"arts, culture and entertainment",134888,30,3829,2017,2017 Indian Telugu film by Sandeep Vanga
1163228,en.wikipedia.org/wiki/Scott_Peterson,Scott_Peterson,biography,"arts, culture and entertainment",117718,10,4380,2004,American murderer
54331897,en.wikipedia.org/wiki/UFC_215,UFC_215,biography,sport,39479,6,476,2017,UFC mixed martial arts event in 2017
51207728,en.wikipedia.org/wiki/NXT_TakeOver:_Brooklyn_III,NXT_TakeOver:_Brooklyn_III,other,"arts, culture and entertainment",25112,12,755,2016,2017 WWE Network event
1492735,en.wikipedia.org/wiki/Greg_Abbott,Greg_Abbott,biography,history and geography,57581,14,5620,2005,"48th Governor of Texas, since 2015"
21692334,en.wikipedia.org/wiki/Krysten_Ritter,Krysten_Ritter,biography,"arts, culture and entertainment",185709,9,1379,2009,"American actress, musician, author, and model"
28846555,en.wikipedia.org/wiki/Bill_Skarsgård,Bill_Skarsgård,biography,"arts, culture and entertainment",230299,18,341,2010,Swedish actor
358691,en.wikipedia.org/wiki/Joan_Kroc,Joan_Kroc,biography,other,46215,2,1023,2003,American philanthropist
2204067,en.wikipedia.org/wiki/Nicholas_Winton,Nicholas_Winton,biography,other,49505,14,2751,2005,British stockbroker who saved 669 Jewish children during 1938–39
4779630,en.wikipedia.org/wiki/Disappearance_of_Natalee_Holloway,Disappearance_of_Natalee_Holloway,biography,"arts, culture and entertainment",83606,12,7917,2005,2005 disappearance of an American teenager in Aruba
38710170,en.wikipedia.org/wiki/Game_of_Thrones_(season_4),Game_of_Thrones_(season_4),other,"arts, culture and entertainment",92772,8,2088,2013,fourth season of the fantasy drama television series Game of Thrones
54985298,en.wikipedia.org/wiki/The_Dragon_and_the_Wolf,The_Dragon_and_the_Wolf,other,"arts, culture and entertainment",38975,8,2503,2017,episode of Game of Thrones (S7 E7)
45943,en.wikipedia.org/wiki/Swastika,Swastika,other,"arts, culture and entertainment",201868,40,9104,2002,a geometrical figure and an ancient religious icon in the cultures of Eurasia not to be confused with the Hakenkreuz.
65484015,en.wikipedia.org/wiki/Justin_Thomas_(golfer),Justin_Thomas_(golfer),other,"arts, culture and entertainment",34850,0,1519,2020,
51141156,en.wikipedia.org/wiki/Sonic_Mania,Sonic_Mania,other,internet and game,41207,44,3241,2016,2017 platform video game
51260917,en.wikipedia.org/wiki/Stephen_Miller_(political_advisor),Stephen_Miller_(political_advisor),biography,history and geography,94109,29,3476,2016,Former American government official
33178,en.wikipedia.org/wiki/White_supremacy,White_supremacy,other,history and geography,67362,20,4800,2001,racist belief that white people are superior to people of other racial backgrounds
45573891,en.wikipedia.org/wiki/The_Daily_Stormer,The_Daily_Stormer,other,internet and game,32473,24,5272,2015,American neo-Nazi and white supremacist news and commentary website
